trout (fish+pond)
anchor (metal+steel)
fortune (cookie+journal)
net (boat+containment)
master (men+person)
door (barrier+passage)
chair (place+wood)
echo (bridge+voice)
pot (storage+vessel)
rose (garden+plant)
loss (defeat+life)
cis (chemistry+side)
miracle (event+wine)
mortar (war+weapon)
king (monarchy+piece)
cry (hurt+sorrow)
politician (human+old)
substance (container+style)
stone (pond+weight)
needle (hospital+repair)
mercury (metal+mouth)
communication (event+speech)
property (culture+theft)
old (age+museum)
copy (newspaper+twin)
wing (bird+plane)
hood (neighborhood+ship)
specialist (conference+interest)
cardinal (bishop+color)
troll (bridge+win)
mountain (picture+place)
horror (being+dentist)
hearing (action+brain)
saint (good+man)
mat (exercise+house)
leak (boat+break)
out (exceed+military)
bit (drill+strap)
rhetoric (communication+inspire)
calendar (decade+desktop)
flute (steel+store)
newspaper (document+subway)
drill (garage+tool)
food (carbon+grocery)
island (fish+set)
weed (field+name)
register (up+verb)
stranger (greeting+park)
speaker (demonstration+house)
handle (drawer+object)
ghost (death+paranormal)
chain (decoration+garage)
bat (bridge+fun)
continent (area+name)
locker (metal+office)
noise (casino+wave)
manager (human+store)
we (control+group)
material (build+house)
passage (description+house)
guide (leader+museum)
iso (branch+physics)
praise (bed+lord)
ball (celebration+plastic)
pad (ink+planner)
beam (sun+warehouse)
machine (house+vote)
magazine (page+table)
tv (plastic+relaxation)
system (group+retrieve)
television (house+tv)
drawing (patent+skill)
flag (classroom+curtain)
halo (chemistry+sea)
graduation (college+event)
over (poker+use)
lap (body+knee)
performance (circus+fun)
sweat (bed+exercise)
bear (drawer+sun)
platform (arena+presentation)
human (bath+being)
put (action+software)
death (symptom+war)
mine (destruction+weapon)
message (mission+table)
failure (casino+illusion)
mark (pilot+target)
vice (president+workshop)
trouble (error+life)
engineer (person+vacation)
pro (syntax+tumor)
fore (ball+golf)
growth (development+field)
lawyer (human+man)
u (human+usd)
fan (method+stadium)
contact (album+disc)
poverty (being+mumbai)
pick (metal+tool)
misery (company+emotion)
